钻孔,深度区间,深度(m),裂隙数量,总长度,平均长度,裂隙密度
5#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
5#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
5#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
5#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
5#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
5#孔,5-6m.jpg,5.5,8,193.67,24.21,8.00
5#孔,6-7m.jpg,6.5,6,133.62,22.27,6.00
3#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
3#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
3#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
3#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
3#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
3#孔,5-6m.jpg,5.5,8,193.67,24.21,8.00
3#孔,6-7m.jpg,6.5,6,133.62,22.27,6.00
6#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
6#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
6#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
6#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
6#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
6#孔,5-6m.jpg,5.5,8,193.67,24.21,8.00
6#孔,6-7m.jpg,6.5,6,133.62,22.27,6.00
1#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
1#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
1#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
1#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
1#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
1#孔,5-6m.jpg,5.5,8,193.67,24.21,8.00
1#孔,6-7m.jpg,6.5,6,133.62,22.27,6.00
2#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
2#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
2#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
2#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
2#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
2#孔,5-6m.jpg,5.5,8,193.67,24.21,8.00
2#孔,6-7m.jpg,6.5,6,133.62,22.27,6.00
4#孔,0-1m.jpg,0.5,17,393.60,23.15,17.00
4#孔,1-2m.jpg,1.5,16,424.58,26.54,16.00
4#孔,2-3m.jpg,2.5,11,339.56,30.87,11.00
4#孔,3-4m.jpg,3.5,11,337.06,30.64,11.00
4#孔,4-5m.jpg,4.5,7,181.01,25.86,7.00
